split,label,len_bucket,noise_type,n_rows
test,de,3,clean,200
test,de,3,no_diacritics,200
test,de,3,typo,200
test,de,5,clean,200
test,de,5,no_diacritics,200
test,de,5,typo,200
test,de,10,clean,200
test,de,10,no_diacritics,200
test,de,10,typo,200
test,en,3,clean,200
test,en,3,no_diacritics,200
test,en,3,typo,200
test,en,5,clean,200
test,en,5,no_diacritics,200
test,en,5,typo,200
test,en,10,clean,200
test,en,10,no_diacritics,200
test,en,10,typo,200
test,es,3,clean,200
test,es,3,no_diacritics,200
test,es,3,typo,200
test,es,5,clean,200
test,es,5,no_diacritics,200
test,es,5,typo,200
test,es,10,clean,200
test,es,10,no_diacritics,200
test,es,10,typo,200
test,fr,3,clean,200
test,fr,3,no_diacritics,200
test,fr,3,typo,200
test,fr,5,clean,200
test,fr,5,no_diacritics,200
test,fr,5,typo,200
test,fr,10,clean,200
test,fr,10,no_diacritics,200
test,fr,10,typo,200
test,ro,3,clean,200
test,ro,3,no_diacritics,200
test,ro,3,typo,200
test,ro,5,clean,200
test,ro,5,no_diacritics,200
test,ro,5,typo,200
test,ro,10,clean,200
test,ro,10,no_diacritics,200
test,ro,10,typo,200
train,de,3,clean,1600
train,de,3,no_diacritics,1600
train,de,3,typo,1600
train,de,5,clean,1600
train,de,5,no_diacritics,1600
train,de,5,typo,1600
train,de,10,clean,1600
train,de,10,no_diacritics,1600
train,de,10,typo,1600
train,en,3,clean,1600
train,en,3,no_diacritics,1600
train,en,3,typo,1600
train,en,5,clean,1600
train,en,5,no_diacritics,1600
train,en,5,typo,1600
train,en,10,clean,1600
train,en,10,no_diacritics,1600
train,en,10,typo,1600
train,es,3,clean,1600
train,es,3,no_diacritics,1600
train,es,3,typo,1600
train,es,5,clean,1600
train,es,5,no_diacritics,1600
train,es,5,typo,1600
train,es,10,clean,1600
train,es,10,no_diacritics,1600
train,es,10,typo,1600
train,fr,3,clean,1600
train,fr,3,no_diacritics,1600
train,fr,3,typo,1600
train,fr,5,clean,1600
train,fr,5,no_diacritics,1600
train,fr,5,typo,1600
train,fr,10,clean,1600
train,fr,10,no_diacritics,1600
train,fr,10,typo,1600
train,ro,3,clean,1600
train,ro,3,no_diacritics,1600
train,ro,3,typo,1600
train,ro,5,clean,1600
train,ro,5,no_diacritics,1600
train,ro,5,typo,1600
train,ro,10,clean,1600
train,ro,10,no_diacritics,1600
train,ro,10,typo,1600
val,de,3,clean,200
val,de,3,no_diacritics,200
val,de,3,typo,200
val,de,5,clean,200
val,de,5,no_diacritics,200
val,de,5,typo,200
val,de,10,clean,200
val,de,10,no_diacritics,200
val,de,10,typo,200
val,en,3,clean,200
val,en,3,no_diacritics,200
val,en,3,typo,200
val,en,5,clean,200
val,en,5,no_diacritics,200
val,en,5,typo,200
val,en,10,clean,200
val,en,10,no_diacritics,200
val,en,10,typo,200
val,es,3,clean,200
val,es,3,no_diacritics,200
val,es,3,typo,200
val,es,5,clean,200
val,es,5,no_diacritics,200
val,es,5,typo,200
val,es,10,clean,200
val,es,10,no_diacritics,200
val,es,10,typo,200
val,fr,3,clean,200
val,fr,3,no_diacritics,200
val,fr,3,typo,200
val,fr,5,clean,200
val,fr,5,no_diacritics,200
val,fr,5,typo,200
val,fr,10,clean,200
val,fr,10,no_diacritics,200
val,fr,10,typo,200
val,ro,3,clean,200
val,ro,3,no_diacritics,200
val,ro,3,typo,200
val,ro,5,clean,200
val,ro,5,no_diacritics,200
val,ro,5,typo,200
val,ro,10,clean,200
val,ro,10,no_diacritics,200
val,ro,10,typo,200
